,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
0,0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0,0
1,1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0,0
2,2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0,1
3,3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1,0
4,4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0,0
5,0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0,0
6,1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0,0
7,2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0,1
8,3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1,0
9,4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0,0
10,0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0,0
11,1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0,0
12,2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0,1
13,3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1,0
14,4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0,0
15,0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0,0
16,1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0,0
17,2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0,1
18,3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1,0
19,4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0,0
20,0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0,0
21,1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0,0
22,2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0,1
23,3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1,0
