,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
0,0,2022-11-23 23:53:37+00:00,@ReverendWarnock Two words. John Fetterman.,TNwrestlingDad,"Memphis, TN",0,0,1
1,1,2022-11-23 23:52:08+00:00,"@SchlossmanJeff @burke142 @ChrisDLites @bayraktar_1love Lol i can call my senator or congressman too, but it doesn’t mean that would change anything. I don’t think John Fetterman could find Ukraine on the map if he tried. I am not saying anything our military and intelligence community doesn’t already know",AnnaVu123123,,0,0,0
2,2,2022-11-23 23:52:05+00:00,"@jp262 I saw some kind of union protest in Pittsburgh this past weekend - a few miles from his home, but no John Fetterman there screaming about the union way of life. Now that the election is over I guess he doesn't need to perform.",stanzo7788,United States,0,0,0
3,3,2022-11-23 23:51:46+00:00,@donwinslow He should release them at the same time as Joe Biden and John Fetterman release their health records.,CommonSenseUS38,,0,0,1
4,4,2022-11-23 23:42:40+00:00,"RT @MMFlint: Had a great conversation with Joy Reid about the Democrats’ midterm victories, what the Dems should be working on right now to…",Sayitisntso5,,79,0,1
5,5,2022-11-23 23:38:54+00:00,@NoLieWithBTC @CBS8 Is he any relationship to John Fetterman?,SugaMam69682564,Florida,0,1,0
6,6,2022-11-23 23:35:17+00:00,@ReverendWarnock . . . . Said John Fetterman.,FGramcko,CALI,0,0,0
7,7,2022-11-23 23:35:12+00:00,@JDCocchiarella The same thing can be said about John Fetterman and AOC but here we are.,nimrez,"Houston, TX",0,0,1
8,8,2022-11-23 23:31:46+00:00,@RpsAgainstTrump Why? We can say the same for any same person  voting for a stroke victim like John Fetterman..,homelandpatrio,,0,0,0
9,9,2022-11-23 23:29:52+00:00,Oh but apparently John Fetterman is?? Lol 😂 You’re all hypocrites. You sir are not a reverend. No reverend would encourage his parish to murder their own people. https://t.co/pcJ38pY898,Thatgirl_30058,"Palm Bay, FL",0,1,0
10,10,2022-11-23 23:27:36+00:00,Neither is John Fetterman https://t.co/zq9noOoMZL,angelogerard,NEPA,0,0,1
11,11,2022-11-23 23:25:40+00:00,"@ReverendWarnock TAKE THESE GEORGIA VALUES WITH YOU!!!

68% OF UNMARRIED WOMEN VOTED DEMOCRAT!
COLLEGE STUDENTS voted 96 to 4 DEMOCRAT

They LOVE Joe Biden and John Fetterman
They want America destroyed!!
They want our energy industry destroyed
They want more mandates!! https://t.co/Br8rmepCeA",Mage2Word,,0,1,0
12,12,2022-11-23 23:18:56+00:00,"RT @OccupyDemocrats: BREAKING: Gisele Barreto Fetterman, wife of Senator-elect John Fetterman, shreds Republicans for criticizing her suppo…",AnnieSa12415299,,5742,0,0
13,13,2022-11-23 23:16:55+00:00,@SurvivorTrev John Fetterman,LeftTheCoast,Planet Earth,0,1,0
14,14,2022-11-23 23:14:00+00:00,Yet you thought John Fetterman was. You are funny. @HerschelWalker is more ready that you and Fetterman put together! https://t.co/GHax6sYGzi,MarineTimLee,"Rowlett, TX",2,10,1
15,15,2022-11-23 23:11:42+00:00,@WileyEyster @RonFilipkowski I'll bet they walked the wrong direction. Ended up getting John Fetterman elected by accident.,metalprof,"Valparaiso, IN",0,1,0
16,16,2022-11-23 23:07:30+00:00,@PhillyCrimeUpd Do we know where John Fetterman is?,BendersCloud,"Red Bluff, CA",0,2,1
17,17,2022-11-23 23:06:17+00:00,False mail-in ballot claim targets Senator-elect John Fetterman https://t.co/rZMF6SKSfU via @YahooNews,justpat222,,0,0,0
18,18,2022-11-23 23:05:54+00:00,Dr. Oz Desperately Plotting Return To TV After Failed Pennsylvania Senate Race https://t.co/lWFO0t1c5h,BlackInformant,New York. New York,0,0,0
19,19,2022-11-23 23:04:33+00:00,"@ReverendWarnock @HerschelWalker You could ask those same questions of John Fetterman, except he doesn’t have an Olympic medal nor a Heisman.  He has NOTHING!  Yet as elected.  You say Warnock can work across the aisle?  He’s been theee 2 years and he has been nothing but a rubber stamp for Joe Biden.",NumbersGuy55,U.S.A.,0,0,0
20,20,2022-11-23 23:03:27+00:00,@ReverendWarnock Seems like a good time to embrace your inner John Fetterman Rev,thereisariverk,,0,0,1
21,21,2022-11-23 23:03:25+00:00,"RT @erinmtoo: @CnclHalkias @HerschelWalker @GaRepublicans @PAGOP Remind me which senator you elected in Pennsylvania? 

Oh, yeah, that's ri…",mikalvision,New Orleans,3,0,1
22,22,2022-11-23 23:03:13+00:00,"@mmpadellan Yeah, he should speak more eloquently, like Joe Biden and John Fetterman.",JohnPloskina,,0,0,1
23,23,2022-11-23 22:59:50+00:00,"@KaipLisette @16DonsLastDay @laurenboebert Don’t be silly, mam, it’ll help John Fetterman too. An individual already, in actual reality, asking for special considerations. Go ahead, call me an “ableist” or whatever you educated folk go on about. Happy Thanksgiving.",Cwonks85,,0,2,1
24,24,2022-11-23 22:59:35+00:00,"@BoulwareH2 I don’t know what Ross Barkan was smoking, but it must have been pretty potent for him to write as if John Fetterman could have national presidential appeal. 💨 https://t.co/Wnu5CdobQL",TomKattman,"Furry Falls, Catville",0,1,1
25,25,2022-11-23 22:57:23+00:00,"RT @BoulwareH2: Intelligencer “solid option” picks to replace Biden are Gretchen Whitmer, Raphael Warnock, or John Fetterman. ~~&gt; What if B…",TomKattman,"Furry Falls, Catville",1,0,1
26,26,2022-11-23 22:53:57+00:00,Democrat John Fetterman wins PA Senate race in first major election call. It’s midnight and no red wave | Boeing Boeing https://t.co/zgs92diua0,sumedhathawale0,"Anjangaon, Maharashtra",0,0,0
27,27,2022-11-23 22:53:38+00:00,"The Philadelphia Inquirer: Senator-elect John Fetterman's football career at Albright was formative in his political development.
https://t.co/GagRfNTrbP",AbdiRag80697187,,0,0,0
28,28,2022-11-23 22:52:34+00:00,"@citizen1448 Damn, senator elect John Fetterman not looking good.",ohsnaps_its_Red,Rent free in your mind ,0,1,0
