,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
0,0,2022-11-23 23:42:03+00:00,"@PamKeithFL I'm not even going to get started on NC. NC had a prime opportunity to elect someone with decency and intelligence. But no, what did NC do? Voted for this clown Ted Budd. That's whack is crap.",barrywwhite77,"Charlotte, NC",0,0,0
1,1,2022-11-23 23:30:42+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",JoshIsWoke1,Rigging Elections @ DNC HQ,26,0,0
2,2,2022-11-23 23:30:39+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",AyrtonSci,,26,0,0
3,3,2022-11-23 22:09:20+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",JJManring,"Minneapolis, MN",173,0,1
4,4,2022-11-23 21:50:05+00:00,"RT @CheriBeasleyNC: Today, Congressman Ted Budd is campaigning with Rick Scott – and he supports his plan to sunset Social Security and Med…",BoBo10322,"South Carolina, USA",1907,0,1
5,5,2022-11-23 21:42:12+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",julepandme,"Wichita, KS",173,0,1
6,6,2022-11-23 21:33:37+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",kokoswatching,,173,0,1
7,7,2022-11-23 21:22:15+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",rhoyou,Melbourne Australia,173,0,1
8,8,2022-11-23 21:10:46+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Kimsadem,"Tucson, AZ",173,0,1
9,9,2022-11-23 21:03:27+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",CapitalistFool,,173,0,1
10,10,2022-11-23 20:57:47+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",_LOVEINVAIN,,173,0,1
11,11,2022-11-23 20:35:13+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",CurveWhiplash,"Eureka, CA",173,0,1
12,12,2022-11-23 20:20:00+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",cowboy_texan321,Republic of Texas,26,0,0
13,13,2022-11-23 20:16:00+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",Eilonwy24,Oregon,173,0,1
14,14,2022-11-23 19:58:32+00:00,David Sacks held a high-dollar fundraising event for Ted Budd in September with old PayPal Mafia buddy Keith Rabois &amp; his husband Jacob Helberg: https://t.co/CfZqjHmRUT https://t.co/BhV4XUncQq,jessecrall,Los Angeles,0,2,1
15,15,2022-11-23 19:52:42+00:00,"In 2028, come his re-election, Ted Budd is gonna be out for that Ted Bludd",SunBeltPolitics,John McCain's Hairline,0,19,0
16,16,2022-11-23 19:51:33+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",rebels2008,"Texas and Washington, D.C.",26,0,0
17,17,2022-11-23 19:47:52+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",JackSimermeyer,MN/WA/OR,26,0,0
18,18,2022-11-23 19:40:59+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",redG2pen,WA-02,26,0,0
19,19,2022-11-23 19:36:44+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",unclemuley,"Kansas, USA",173,0,1
20,20,2022-11-23 19:27:44+00:00,"RT @averyhatestwt: 2 weeks ago NC Rs just barely missed out on gaining a supermajority in the state house, because of uncontested districts…",MassJumbo,"Massachusetts, USA",26,0,0
21,21,2022-11-23 19:23:17+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",rdthorsett,,173,0,1
22,22,2022-11-23 19:21:08+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",dollymad1812,America the Beautiful,173,0,1
23,23,2022-11-23 19:08:26+00:00,@ddayen How was this not pressed against Ted Budd's Senate candidacy this year? Did the Dems just do zero oppo research in NC?,srsjeff,California,0,2,0
24,24,2022-11-23 18:55:49+00:00,"Republicans need fewer candidates like Don Bolduc, Herschel Walker, and Mehmet Oz and more candidates like Ted Budd, Pat Toomey, and Brian Kemp.",DeclanMHurley,"North Carolina, USA",0,7,0
25,25,2022-11-23 18:47:00+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",etoileluna77,,173,0,1
26,26,2022-11-23 18:44:46+00:00,"RT @_waleedshahid: “The eight members were Reps. Emmer, Donalds, Auchincloss, Warren Davidson (R-OH), Ted Budd (R-NC), Darren Soto (D-FL),…",chortles81,,68,0,0
27,27,2022-11-23 18:41:29+00:00,"RT @underoak: #ncpol 

Rep. Ted Budd is named as one of the eight.

Note that Sen. Tillis also wrote a letter protecting crypto from regula…",tenej_jen,US,5,0,0
28,28,2022-11-23 18:28:26+00:00,"""Rep. Ted Budd (R-NC) ... received half a million dollars in support from a Super PAC created by FTX co-CEO Ryan Salame.""

Good job, #NC peeps - you put another *stellar* Senator in DC to represent us (as long as he get his share).  &lt;sigh-&amp;-eyeroll&gt;
https://t.co/AKmUwNKdED",Castle_Labs,"North Carolina, USA",0,1,0
29,29,2022-11-23 18:27:16+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",colinenpraxis,Long Beach / Oakland ,173,0,1
30,30,2022-11-23 18:27:01+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",bret_hitch,,173,0,1
31,31,2022-11-23 18:25:39+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",lucyaw,"Bay Area, California",173,0,1
32,32,2022-11-23 18:22:44+00:00,"RT @ddayen: Here's what we know:
• 5 of the ""Blockchain 8"" received direct campaign donations from FTX
• Ted Budd got $517,000 from a Super…",JustinD,Formerly NYC // Currently PGH,173,0,1
