,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,sentiment
0,0,2022-11-23 23:51:30+00:00,"RT @EvolvingWild: By our models, Ryan Reaves is likely the worst player who regularly plays in the NHL so this should work out well.",Not_Tim_Burton,,12,0,1
1,1,2022-11-23 23:13:19+00:00,"Oh, so the Tim Ryan interview will not be made public?

The committee that was formed to prevent Trump running for president is focused on preventing Trump from running for president? https://t.co/yCaOfCbUcD",greg_fann,"Temecula, CA",0,0,1
2,2,2022-11-23 22:54:00+00:00,"RT @Brian_Chovanec: @super_mario_21 @AndyHarrisFan Can't be candidate recruitment, Tim Ryan was best candidate Ds could've put up this cycl…",PercieveA,,1,0,1
3,3,2022-11-23 22:53:19+00:00,"@nathaliejacoby1 President Obama,  President Clinton, Maxine Waters, Tim Ryan or Gavin Newsom",pamelalnance1,,0,0,1
4,4,2022-11-23 22:50:15+00:00,"@SpecialPuppy1 One might argue that’s unfair which, sure ig, let’s compare vs. 2020

Tim Ryan did better than Biden by a whopping 1.4 point

John Fetterman otoh? He did better than Biden by a measly 3.6 points",Wasps_n_Moths,The Nest,0,0,1
5,5,2022-11-23 22:31:16+00:00,Ohio had Tim Ryan and instead they chose JD Vance! It’s ridiculous &amp; reflects the degraded mentality that has seeped into the whole Ohio population.,jm_dent,,1,3,0
6,6,2022-11-23 22:17:44+00:00,RT @news4buffalo: This is the Tim Hortons in Ontario that Sabres Ryan O'Reilly allegedly ran into last week http://t.co/QDmadFJfQn,Andrew_Moser_,"Milwaukee, Wisconsin",12,0,1
7,7,2022-11-23 22:13:08+00:00,Ok Jim Ryan might be worse than Tim Sweeney,taranfight,depends on if it's December,0,0,0
8,8,2022-11-23 22:06:12+00:00,"@LuisRodolfoRo18 Mike Trout, Nolan Arenado, Paul Goldshmidt, Mookie Betts, Bryce Harper, J. T. Realmuto, Pete Alonso, Trevor Story, Trea Turner, Will Smith, Cedric Mullins, Tim Anderson, Trevor Story, Kyle Tucker, Ryan Pressly, Merrill Kelly, Dillon Tate, Boby Whitt JR, Devin Williams",THEPRONK45,,0,1,1
9,9,2022-11-23 22:03:55+00:00,"@Bev_Did @cleats56 @BarackObama @DemRedistrict @GovMikeDeWine @TimRyan I got the impression he set the distance. I think towards the end he realized he could have used their money. It's a shame, Tim Ryan was obviously a much better choice for the people of Ohio. They'll learn, the hard way.",LynEpar,,0,2,0
10,10,2022-11-23 21:55:48+00:00,RT @news4buffalo: This is the Tim Hortons in Ontario that Sabres Ryan O'Reilly allegedly ran into last week http://t.co/QDmadFJfQn,ByGerrySullivan,"Buffalo, N.Y.",12,0,1
11,11,2022-11-23 21:43:41+00:00,@Joyenz1 @MailOnline Have to consider Tim Ryan too,BklynDAP,,0,0,0
12,12,2022-11-23 21:34:11+00:00,"@simsjos @redwood_ryan_a @realEstateTrent If he really is paying all cash, then yes maybe he is OK with a low cap going in, and plans to refi when rates are more favorable. That's just not the norm. I would 100% want to know this buyers operating plan, bio, POF, etc. before going into contract.",tim_vanwing,,0,0,1
13,13,2022-11-23 21:32:21+00:00,All these Karens that keep whining about maps and gerrymandering make me laugh...We couldve have let you and Tim Ryan draw the maps and it wouldn't of mattered.... https://t.co/lkNiCuZ0pU,WeissingerJoel,.... hoping for AZ,0,0,0
14,14,2022-11-23 21:27:17+00:00,@cleats56 @BarackObama @DemRedistrict @GovMikeDeWine @TimRyan Maybe Tim Ryan didn’t want them.,Bev_Did,USA,1,1,0
15,15,2022-11-23 21:19:23+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",dix_reloaded,,19,0,1
16,16,2022-11-23 21:12:55+00:00,"RT @_MLFootball: The #Eagles hired former #Colts offensive coordinator Marcus Brady as a consultant, according to @HolderStephen and @Tim_M…",ryan_rollman,,2,0,1
17,17,2022-11-23 20:54:38+00:00,Tim Ryan probably did so well in Ohio because he talks and acts like a guy who peaked in high school which I imagine is most people in Ohio,ArmagnacFrancis,"St Louis, MO",0,10,0
18,18,2022-11-23 20:53:44+00:00,@obamaatredrobin Ohio Democrats need to understand this. No more fake moderates like Tim Ryan or resistlib karens like Nan Whaley. More Marcy Kaptur and Emilia Sykes types and less Tim Ryan and Nan Whaley types.,KingCFox,probably shadowbanned ,1,5,0
19,19,2022-11-23 20:53:35+00:00,"RT @davidwappel: @misterpatches My other choices

Colin Farrell, Minority Report
Dante Basco, Hook
Tim Robbins, War of the Worlds
Paul Free…",AConcept5,,1,0,1
20,20,2022-11-23 20:52:25+00:00,"HALFTIME in Milwaukee

#RollToms 35 
#MkePanthers 33

@RealBrooksAllen leading the way with 9pts (3-3 3FG), 4r, 3a. Blue &amp; Dufault big off the bench with 10pts combined. Kendall providing a spark early with Ryan adding it at the end.

Ahmad Rand with 10pts 4reb (3off) for MKE",Tim_Hill3,"Bloomington, MN",1,4,1
21,21,2022-11-23 20:49:55+00:00,"RT @obamaatredrobin: almost forgot MI, they literally have a soc dem (i think) as their majority chair lol! meanwhile moderate tim ryan bit…",KingCFox,probably shadowbanned ,3,0,0
22,22,2022-11-23 20:24:59+00:00,"@misterpatches My other choices

Colin Farrell, Minority Report
Dante Basco, Hook
Tim Robbins, War of the Worlds
Paul Freeman, Raiders
Wayne Knight, Jurassic Park
Vin Diesel, Saving Private Ryan",davidwappel,"Los Angeles, CA",1,5,1
23,23,2022-11-23 20:04:09+00:00,@TruckersVote JD Vance got elected here in Ohio by lying that Tim Ryan and the Democrats raised taxes on low to middle income Americans. Said they also wanted new IRS agents to go after middle class(not rich tax cheats!) BS made me want to throw something at the tv every time it came on.,tomthomas578,United States,0,1,0
