,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,Sentiment,sentiment
0,0,2022-11-23 23:52:49+00:00,"RT @CAWP_RU: With wins tonight from Catherine Cortez Masto in the Senate and Marie Gluesenkamp Perez and Norma Torres in the House, there w…",JohnStofko5,,68,0,4,4
1,1,2022-11-23 20:36:14+00:00,"@IAPolls2022 Two weeks ago - Love those Polls 🤣🤣🤣

NV Senate
(R) Adam Laxalt: 50%
(D) Catherine Cortez Masto: 44%

GA Senate
(R) Herschel Walker: 49%
(D) Raphael Warnock: 47%

PA Senate
(R) Mehmet Oz: 48%
(D) John Fetterman: 45%

AZ Senate
(R) Blake Masters: 48%
(D) Mark Kelly: 48%",TrumpGirlGem,,0,1,0,0
2,2,2022-11-23 18:39:51+00:00,@MWPolitics101 @BuckeyePolitic1 midterm year plus Catherine Cortez Masto still has some rural appeal from her previous Attorney General races,TinaSnowEnjoyer,"Las Vegas, NV/Yucaipa, CA",0,2,0,0
3,3,2022-11-23 17:35:26+00:00,"Nevada election results are official! 

Joe Lombardo beats out incumbent Steve Sisolak for Nevada Governor.
Catherine Cortez Masto maintains her seat in the U.S. Senate. https://t.co/kT3ZAy1ivm",OHPredictive,"Phoenix, AZ",0,5,4,4
4,4,2022-11-23 17:30:18+00:00,"@jackthetexano @suchagreatguy Thanks!, I kinda knew Murkoski will be leading. Due to big cities, like how Catherine Cortez Masto won. I like when Dan Sullivan, comes on the senate floor, to talk about the Alaskan Of The Week.",LittleLeighXoxo,Brooklyn NY✖️⭕️,0,0,4,4
5,5,2022-11-23 15:37:39+00:00,"RT @TheNVIndy: PROJECTED: Democratic U.S. Sen. Catherine Cortez Masto is projected to win re-election, earning a second term representing N…",LoriNparadise,"Fort Myers, FL",1198,0,4,4
6,6,2022-11-23 14:10:34+00:00,"RT @De_La_Rosa_92: Karen Bass, Katie Porter, Katie Hobbs and Catherine Cortez Masto have all won!
If we could just have Adam Frisch beat Bo…",cathydee33,canada,6,0,0,0
7,7,2022-11-23 13:58:41+00:00,"RT @De_La_Rosa_92: Karen Bass, Katie Porter, Katie Hobbs and Catherine Cortez Masto have all won!
If we could just have Adam Frisch beat Bo…",mpoage,"Maryland, USA",6,0,0,0
8,8,2022-11-23 04:34:05+00:00,"RT @BetteMidler: Catherine Cortez-Masto of Nevada has won!  Democrats may have control of the Senate!  GA, it’s up to you! #WarnockforSenate",Me_MovingFwd,SoCal,524,0,0,0
9,9,2022-11-23 03:28:54+00:00,"Democrats got the margins they needed in Pennsylvania, Arizona, and Nevada from Hispanics.

The concern is low turnout. Catherine Cortez Masto underperformed Reid's 2010 Hispanic turnout. California's Hispanic turnout was low as well. https://t.co/rwvv56Wuha",AlexODiazNV,,0,17,4,4
10,10,2022-11-23 01:05:03+00:00,"Slow-mo: Dirty Catherine Cortez Masto (D-NV) distracts ref while Dick ""Main Event"" Durbin (D-IL) uses concealed bullwhip",CspanRAW,,0,0,4,4
11,11,2022-11-23 00:42:35+00:00,"RT @kylegriffin1: Sen. Catherine Cortez Masto: ""This victory – it's for Nevada!

""This election, Nevadans rejected the far-right politician…",FranklinQuee,,662,0,0,0
12,12,2022-11-23 00:25:13+00:00,"RT @sahilkapur: NEWS: Catherine Cortez Masto (D) wins the Nevada Senate race, @NBCNews projects, defeating Adam Laxalt (R).

That’s seat #5…",JohnStofko5,,487,0,4,4
13,13,2022-11-22 19:11:04+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",rebels2008,"Texas and Washington, D.C.",13,0,4,4
14,14,2022-11-22 19:04:56+00:00,"@AlexHolzbach @TimSnowborn Literally the only mention of a Democrat in the article

In Nevada, the reelection campaign of Democratic Sen. Catherine Cortez Masto asked a judge to extend hours or reopen polls in Las Vegas and other parts of Clark County to 9 p.m. local time instead of the usual 7 p.m. cutoff",ShaeffinSA,,0,0,0,0
15,15,2022-11-22 18:40:25+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",4everBernie,"Atlanta, Georgia",13,0,4,4
16,16,2022-11-22 18:31:08+00:00,RT @DebKhoshaba: Congratulations Catherine Cortez Masto. You fought hard but gave us the great save!,gordonl,"Ann Arbor, MI",3,0,4,4
17,17,2022-11-22 16:50:13+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",DrewSav,"Fayetteville, NC",13,0,4,4
18,18,2022-11-22 15:55:33+00:00,so wait Mastodon has nothing to do with stanning Catherine Cortez Masto?? 😭😭😭😭😭😭😭😭,BuildBackDems,,0,0,4,4
19,19,2022-11-22 15:38:13+00:00,Nevada Democrat Catherine Cortez Masto defeats Republican Adam Laxalt in Senate race | Fox News https://t.co/B07VnjUVAH #copyright #ipindia #iprindia #trademark #patent #vakilkart #wipo,vakilkartlegal,"Bengaluru, India",0,1,0,0
20,20,2022-11-22 14:50:11+00:00,"RT @DaMapperToaster: Democratic senator Catherine Cortez Masto of Nevada triumphed over Republican Adam Laxalt, a former Attorney General.…",jiminyjobbers55,United States,17,0,0,0
21,21,2022-11-22 14:35:02+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",ProjectedPaul,"Miami, FL",13,0,4,4
22,22,2022-11-22 14:21:39+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",zach_solomon1,"Ann Arbor, MI / Las Vegas, NV",13,0,4,4
23,23,2022-11-22 13:20:29+00:00,"RT @SteveKornacki: NBC News calls Nevada for Sen. Catherine Cortez Masto (D), ensuring continued Democratic control of the US Senate",Mercyrrankin1,"South Carolina, USA",6482,0,0,0
24,24,2022-11-22 12:11:42+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",andkenbr,"São Paulo, Brasil",13,0,4,4
25,25,2022-11-22 11:05:33+00:00,"RT @AlexODiazNV: In 2022, Catherine Cortez Masto received more votes in comparison with Harry Reid, but her coalition is very different. Ha…",Athenas_Son_V,"Pittsburgh, PA",13,0,4,4
26,0,2022-11-23 23:52:49+00:00,"RT @CAWP_RU: With wins tonight from Catherine Cortez Masto in the Senate and Marie Gluesenkamp Perez and Norma Torres in the House, there w…",JohnStofko5,,68,0,4,4
