,Unnamed: 0,Time,Tweet,User,Location,Retweets,Likes,Sentiment,sentiment
0,0,2022-11-23 20:16:50+00:00,"Tiwanna...human beings, sometimes sadly, are creatures of habit.  New York, very, very sadly, is a Democrat state, therefore, understandably why Schumer came out ahead.  As a Conservative GOP voter, I voted for Joe Pinion, and wish him the very best luck in all future endeavors!! https://t.co/nw2RKMq1Vs",MarciaSessler,,2,2,4,4
1,1,2022-11-23 17:31:45+00:00,@407MarisaL80 Two words “joe biden”,pinion_stanley,,0,0,4,4
2,2,2022-11-23 16:37:03+00:00,"@sa_va_nt @D0m1n8tor I mean Walker seems to be doing better than all the controversy would otherwise suggest.

Also Joe Pinion reduced Schumers victory margin by like 30pts, so I don't fully buy it just being a SC thing.",E_Made_Me_Simp,Blue Alaska 💪💪💪,0,1,0,0
3,3,2022-11-23 03:13:26+00:00,"RT @JasonTwist: So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's t…",AgendaMetro,"New York, USA",1,0,4,4
4,4,2022-11-23 03:13:16+00:00,"So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's tacky, boring, boring looking, and very one toned...his talking points are laughable...it's like he doesn't realize he's a walking joke. @josephpinion #moron",JasonTwist,New York City,1,0,4,4
5,5,2022-11-23 03:07:24+00:00,They threw Joe Pinion in off the bench cold turkey like his name Steve Kerr 😆,Jegreenwood1,817,0,4,0,0
6,6,2022-11-23 01:47:45+00:00,@RedElections Joe pinion,HOSPITALescapee,Your Front Door,0,2,4,4
7,7,2022-11-22 19:59:28+00:00,"Meanwhile Joe Pinion did better than Tiffany Smiley.

All 4 of these were basically lost causes for the GOP, but it's interesting which ones got tons of funding and which ones didn't. https://t.co/VAnzlxdW14 https://t.co/SXxiP9II6P",_alex_joshua,NJ Escapee To PA,0,10,0,0
8,8,2022-11-22 14:34:38+00:00,"JOE PINION: ""WE HAVE A CHANCE TO SEND CHUCK SCHUMER AWAY AND PREVENT HIM FROM DESTROYING THIS NATION THAT WE LOVE ANY MORE!"" 
https://t.co/WqLTVjjHOt",tcb1270,"St. Louis, MO metro area",0,1,4,4
9,9,2022-11-22 12:37:30+00:00,"Missed this😱😱😱

Keanooo
Why are we here, I'm here to give my 🤬pinion, don't care if it's 10 times 🤣🤣🤣

Please continue with your Opinions 🍿🍿🍿 

Souness was correct IMO 🤣🤣🤣

@laura_woodsy &amp; Joe Cole loved that 😏

https://t.co/rd6a4AKqUv https://t.co/2id3cqe0dm",heavy_____d,3rd Rock rotating the Sun,0,0,4,4
10,0,2022-11-23 20:16:50+00:00,"Tiwanna...human beings, sometimes sadly, are creatures of habit.  New York, very, very sadly, is a Democrat state, therefore, understandably why Schumer came out ahead.  As a Conservative GOP voter, I voted for Joe Pinion, and wish him the very best luck in all future endeavors!! https://t.co/nw2RKMq1Vs",MarciaSessler,,2,2,4,4
11,1,2022-11-23 17:31:45+00:00,@407MarisaL80 Two words “joe biden”,pinion_stanley,,0,0,4,4
12,2,2022-11-23 16:37:03+00:00,"@sa_va_nt @D0m1n8tor I mean Walker seems to be doing better than all the controversy would otherwise suggest.

Also Joe Pinion reduced Schumers victory margin by like 30pts, so I don't fully buy it just being a SC thing.",E_Made_Me_Simp,Blue Alaska 💪💪💪,0,1,0,0
13,3,2022-11-23 03:13:26+00:00,"RT @JasonTwist: So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's t…",AgendaMetro,"New York, USA",1,0,4,4
14,4,2022-11-23 03:13:16+00:00,"So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's tacky, boring, boring looking, and very one toned...his talking points are laughable...it's like he doesn't realize he's a walking joke. @josephpinion #moron",JasonTwist,New York City,1,0,4,4
15,5,2022-11-23 03:07:24+00:00,They threw Joe Pinion in off the bench cold turkey like his name Steve Kerr 😆,Jegreenwood1,817,0,4,0,0
16,6,2022-11-23 01:47:45+00:00,@RedElections Joe pinion,HOSPITALescapee,Your Front Door,0,2,4,4
17,7,2022-11-22 19:59:28+00:00,"Meanwhile Joe Pinion did better than Tiffany Smiley.

All 4 of these were basically lost causes for the GOP, but it's interesting which ones got tons of funding and which ones didn't. https://t.co/VAnzlxdW14 https://t.co/SXxiP9II6P",_alex_joshua,NJ Escapee To PA,0,10,0,0
18,8,2022-11-22 14:34:38+00:00,"JOE PINION: ""WE HAVE A CHANCE TO SEND CHUCK SCHUMER AWAY AND PREVENT HIM FROM DESTROYING THIS NATION THAT WE LOVE ANY MORE!"" 
https://t.co/WqLTVjjHOt",tcb1270,"St. Louis, MO metro area",0,1,4,4
19,9,2022-11-22 12:37:30+00:00,"Missed this😱😱😱

Keanooo
Why are we here, I'm here to give my 🤬pinion, don't care if it's 10 times 🤣🤣🤣

Please continue with your Opinions 🍿🍿🍿 

Souness was correct IMO 🤣🤣🤣

@laura_woodsy &amp; Joe Cole loved that 😏

https://t.co/rd6a4AKqUv https://t.co/2id3cqe0dm",heavy_____d,3rd Rock rotating the Sun,0,0,4,4
20,0,2022-11-23 20:16:50+00:00,"Tiwanna...human beings, sometimes sadly, are creatures of habit.  New York, very, very sadly, is a Democrat state, therefore, understandably why Schumer came out ahead.  As a Conservative GOP voter, I voted for Joe Pinion, and wish him the very best luck in all future endeavors!! https://t.co/nw2RKMq1Vs",MarciaSessler,,2,2,4,4
21,1,2022-11-23 17:31:45+00:00,@407MarisaL80 Two words “joe biden”,pinion_stanley,,0,0,4,4
22,2,2022-11-23 16:37:03+00:00,"@sa_va_nt @D0m1n8tor I mean Walker seems to be doing better than all the controversy would otherwise suggest.

Also Joe Pinion reduced Schumers victory margin by like 30pts, so I don't fully buy it just being a SC thing.",E_Made_Me_Simp,Blue Alaska 💪💪💪,0,1,0,0
23,3,2022-11-23 03:13:26+00:00,"RT @JasonTwist: So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's t…",AgendaMetro,"New York, USA",1,0,4,4
24,4,2022-11-23 03:13:16+00:00,"So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's tacky, boring, boring looking, and very one toned...his talking points are laughable...it's like he doesn't realize he's a walking joke. @josephpinion #moron",JasonTwist,New York City,1,0,4,4
25,5,2022-11-23 03:07:24+00:00,They threw Joe Pinion in off the bench cold turkey like his name Steve Kerr 😆,Jegreenwood1,817,0,4,0,0
26,6,2022-11-23 01:47:45+00:00,@RedElections Joe pinion,HOSPITALescapee,Your Front Door,0,2,4,4
27,7,2022-11-22 19:59:28+00:00,"Meanwhile Joe Pinion did better than Tiffany Smiley.

All 4 of these were basically lost causes for the GOP, but it's interesting which ones got tons of funding and which ones didn't. https://t.co/VAnzlxdW14 https://t.co/SXxiP9II6P",_alex_joshua,NJ Escapee To PA,0,10,0,0
28,8,2022-11-22 14:34:38+00:00,"JOE PINION: ""WE HAVE A CHANCE TO SEND CHUCK SCHUMER AWAY AND PREVENT HIM FROM DESTROYING THIS NATION THAT WE LOVE ANY MORE!"" 
https://t.co/WqLTVjjHOt",tcb1270,"St. Louis, MO metro area",0,1,4,4
29,9,2022-11-22 12:37:30+00:00,"Missed this😱😱😱

Keanooo
Why are we here, I'm here to give my 🤬pinion, don't care if it's 10 times 🤣🤣🤣

Please continue with your Opinions 🍿🍿🍿 

Souness was correct IMO 🤣🤣🤣

@laura_woodsy &amp; Joe Cole loved that 😏

https://t.co/rd6a4AKqUv https://t.co/2id3cqe0dm",heavy_____d,3rd Rock rotating the Sun,0,0,4,4
30,0,2022-11-23 20:16:50+00:00,"Tiwanna...human beings, sometimes sadly, are creatures of habit.  New York, very, very sadly, is a Democrat state, therefore, understandably why Schumer came out ahead.  As a Conservative GOP voter, I voted for Joe Pinion, and wish him the very best luck in all future endeavors!! https://t.co/nw2RKMq1Vs",MarciaSessler,,2,2,4,4
31,1,2022-11-23 17:31:45+00:00,@407MarisaL80 Two words “joe biden”,pinion_stanley,,0,0,4,4
32,2,2022-11-23 16:37:03+00:00,"@sa_va_nt @D0m1n8tor I mean Walker seems to be doing better than all the controversy would otherwise suggest.

Also Joe Pinion reduced Schumers victory margin by like 30pts, so I don't fully buy it just being a SC thing.",E_Made_Me_Simp,Blue Alaska 💪💪💪,0,1,0,0
33,3,2022-11-23 03:13:26+00:00,"RT @JasonTwist: So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's t…",AgendaMetro,"New York, USA",1,0,4,4
34,4,2022-11-23 03:13:16+00:00,"So do people actually donate their money to joe pinion? Like, do you people just like wasting your money on the dud? He's tacky, boring, boring looking, and very one toned...his talking points are laughable...it's like he doesn't realize he's a walking joke. @josephpinion #moron",JasonTwist,New York City,1,0,4,4
35,5,2022-11-23 03:07:24+00:00,They threw Joe Pinion in off the bench cold turkey like his name Steve Kerr 😆,Jegreenwood1,817,0,4,0,0
36,6,2022-11-23 01:47:45+00:00,@RedElections Joe pinion,HOSPITALescapee,Your Front Door,0,2,4,4
37,7,2022-11-22 19:59:28+00:00,"Meanwhile Joe Pinion did better than Tiffany Smiley.

All 4 of these were basically lost causes for the GOP, but it's interesting which ones got tons of funding and which ones didn't. https://t.co/VAnzlxdW14 https://t.co/SXxiP9II6P",_alex_joshua,NJ Escapee To PA,0,10,0,0
38,8,2022-11-22 14:34:38+00:00,"JOE PINION: ""WE HAVE A CHANCE TO SEND CHUCK SCHUMER AWAY AND PREVENT HIM FROM DESTROYING THIS NATION THAT WE LOVE ANY MORE!"" 
https://t.co/WqLTVjjHOt",tcb1270,"St. Louis, MO metro area",0,1,4,4
