,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-23 23:56:15+00:00,"RT @twbrimm: Beasley Fundraising/Spend:

🤑$42.5M → Cheri’s total raise. 2nd highest Senate total in NC History.

📺$25.2M → Total paid media…",ProjectedPaul,"Miami, FL",2,0
1,2022-11-23 21:19:23+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",dix_reloaded,,19,0
2,2022-11-23 20:22:38+00:00,"RT @twbrimm: Beasley Fundraising/Spend:

🤑$42.5M → Cheri’s total raise. 2nd highest Senate total in NC History.

📺$25.2M → Total paid media…",dory_macmillan,"Raleigh, NC",2,0
3,2022-11-23 19:32:22+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",God_Of_Ohio,ohio,19,0
4,2022-11-23 18:53:08+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",Jamesooonnn,Ecbatana,19,0
5,2022-11-23 18:36:32+00:00,"Beasley Fundraising/Spend:

🤑$42.5M → Cheri’s total raise. 2nd highest Senate total in NC History.

📺$25.2M → Total paid media spend across 9 MMAs.

📭~$8.5M → Total on digi, radio, mail &amp; print (not TV or streaming). FIFTY-PERCENT targeted black voters = unprecedented. (5)",twbrimm,"Raleigh, NC",2,21
6,2022-11-23 18:18:18+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",SFCTree,Behind you,19,0
7,2022-11-23 15:44:17+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",rileyfrommanila,MNL ,19,0
8,2022-11-23 15:08:43+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",Prolemasses,EML2,19,0
9,2022-11-23 14:25:45+00:00,@JennBinis It's ironic. CRT is a terribly misused and misunderstood acronym. Here in NC it was used as a blunt instrument to defeat the Democrat senatorial candidate Cheri Beasley. My perhaps too murky comment was to say you won't hold back the tide.,johncroftnorton,North Carolina,0,0
10,2022-11-23 13:50:31+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",ActuallyIceFire,,19,0
11,2022-11-23 08:14:13+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",AlexanderBrewis,,19,0
12,2022-11-23 07:06:13+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",lfldefender,,19,0
13,2022-11-23 06:46:10+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",ElBLogan,"Hilltop - Tacoma, WA",19,0
14,2022-11-23 06:22:22+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",CTDemocrat8,The Nutmeg State,19,0
15,2022-11-23 05:56:41+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",PappasFan,"Monroe County, Michigan",19,0
16,2022-11-23 05:44:26+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",AnonymousLeftie,"Durham, NC, USA",19,0
17,2022-11-23 05:38:28+00:00,"Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what could have been..... https://t.co/AhzPL5m43M",schlagteslinks,,19,357
18,2022-11-23 02:56:55+00:00,RT @abastello2: @auberon135 @Allan11n @ericasmombubbe3 @SchmollSandy @LempaAnne @peachiikim @ChaniSykes @starbright4dems @mysageadvice @kim…,OBrienTBIS,"North Carolina, USA",9,0
19,2022-11-23 02:09:38+00:00,"@davidgi81141955 We’re All 😪- Especially when U👀⬆️Quality of these Nominees ! Cheri Beasley, Tim Ryan, Mandela Barnes, Admiral Mike Franken who ran 🚫Chuck Grassley, in Iowa - Val Demings, in FL - These were All, Cream Of The Crop Nominees ! Stacey Abrams, 
Beto - Hard pressed 2find Better 🇺🇸💎",BonnieRawson4,,0,0
