,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0
1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0
2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0
3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1
4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0
0,2022-11-23 18:14:14+00:00,Retweet if you support Donald C. Bolduc!!! 🙄👏,WeVote2020,USA,0,0
1,2022-11-23 02:08:51+00:00,"RT @56_Jeff: Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidate…",PatrioticSpirit,#USA,1,0
2,2022-11-22 21:02:41+00:00,"@warmachineofgod @8BrianVogel4 You've been duped by Trump buddy.

If not, name your favorite Trump endorsee who WON.

Dr Oz? Blake Masters? Bolduc? Mastriano? Tudor Dixon? Kari Lake? 

Nope. THEY ALL LOST.

Plz read ur beloved super conservative Biden-hating NY POST 😮👇🇺🇸

https://t.co/uQdoXpocua",JLiRD808,,0,0
3,2022-11-22 17:46:35+00:00,"Donald J Trump: 
Joe O’Dea lost his race in Colorado by over 12 points because he campaigned against MAGA. Likewise, candidates who shifted their “messaging” after winning big in the Primaries (Bolduc!) saw big losses in the General. You can’t win without MAGA! https://t.co/PHFMwdTDjS",56_Jeff,,1,1
4,2022-11-22 12:45:31+00:00,"RT @lindyli: Trump endorsed Masters (AZ), Laxalt (NV), Bolduc (NH) &amp; Oz (PA)

They all lost

DeSantis aggressively campaigned for Laxalt (N…",KatieOGrady4,Appalachian Trail,845,0
