,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-23 23:53:37+00:00,@ReverendWarnock Two words. John Fetterman.,TNwrestlingDad,"Memphis, TN",0,0
1,2022-11-23 23:52:08+00:00,"@SchlossmanJeff @burke142 @ChrisDLites @bayraktar_1love Lol i can call my senator or congressman too, but it doesn’t mean that would change anything. I don’t think John Fetterman could find Ukraine on the map if he tried. I am not saying anything our military and intelligence community doesn’t already know",AnnaVu123123,,0,0
2,2022-11-23 23:52:05+00:00,"@jp262 I saw some kind of union protest in Pittsburgh this past weekend - a few miles from his home, but no John Fetterman there screaming about the union way of life. Now that the election is over I guess he doesn't need to perform.",stanzo7788,United States,0,0
3,2022-11-23 23:51:46+00:00,@donwinslow He should release them at the same time as Joe Biden and John Fetterman release their health records.,CommonSenseUS38,,0,0
4,2022-11-23 23:42:40+00:00,"RT @MMFlint: Had a great conversation with Joy Reid about the Democrats’ midterm victories, what the Dems should be working on right now to…",Sayitisntso5,,79,0
5,2022-11-23 23:38:54+00:00,@NoLieWithBTC @CBS8 Is he any relationship to John Fetterman?,SugaMam69682564,Florida,0,1
6,2022-11-23 23:35:17+00:00,@ReverendWarnock . . . . Said John Fetterman.,FGramcko,CALI,0,0
7,2022-11-23 23:35:12+00:00,@JDCocchiarella The same thing can be said about John Fetterman and AOC but here we are.,nimrez,"Houston, TX",0,0
8,2022-11-23 23:31:46+00:00,@RpsAgainstTrump Why? We can say the same for any same person  voting for a stroke victim like John Fetterman..,homelandpatrio,,0,0
9,2022-11-23 23:29:52+00:00,Oh but apparently John Fetterman is?? Lol 😂 You’re all hypocrites. You sir are not a reverend. No reverend would encourage his parish to murder their own people. https://t.co/pcJ38pY898,Thatgirl_30058,"Palm Bay, FL",0,1
10,2022-11-23 23:27:36+00:00,Neither is John Fetterman https://t.co/zq9noOoMZL,angelogerard,NEPA,0,0
11,2022-11-23 23:25:40+00:00,"@ReverendWarnock TAKE THESE GEORGIA VALUES WITH YOU!!!

68% OF UNMARRIED WOMEN VOTED DEMOCRAT!
COLLEGE STUDENTS voted 96 to 4 DEMOCRAT

They LOVE Joe Biden and John Fetterman
They want America destroyed!!
They want our energy industry destroyed
They want more mandates!! https://t.co/Br8rmepCeA",Mage2Word,,0,1
12,2022-11-23 23:18:56+00:00,"RT @OccupyDemocrats: BREAKING: Gisele Barreto Fetterman, wife of Senator-elect John Fetterman, shreds Republicans for criticizing her suppo…",AnnieSa12415299,,5742,0
13,2022-11-23 23:16:55+00:00,@SurvivorTrev John Fetterman,LeftTheCoast,Planet Earth,0,1
14,2022-11-23 23:14:00+00:00,Yet you thought John Fetterman was. You are funny. @HerschelWalker is more ready that you and Fetterman put together! https://t.co/GHax6sYGzi,MarineTimLee,"Rowlett, TX",2,10
15,2022-11-23 23:11:42+00:00,@WileyEyster @RonFilipkowski I'll bet they walked the wrong direction. Ended up getting John Fetterman elected by accident.,metalprof,"Valparaiso, IN",0,1
16,2022-11-23 23:07:30+00:00,@PhillyCrimeUpd Do we know where John Fetterman is?,BendersCloud,"Red Bluff, CA",0,2
17,2022-11-23 23:06:17+00:00,False mail-in ballot claim targets Senator-elect John Fetterman https://t.co/rZMF6SKSfU via @YahooNews,justpat222,,0,0
