,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-23 23:13:33+00:00,RT @Simon_El_Gato__: Just saw a Tony Evers/Mandela Barnes/Josh Kaul sign next to a farm in western Wisconsin. I love midwestern rurals man,Pinoyadjacent32,Ohio,3,0
1,2022-11-23 23:10:08+00:00,RT @Simon_El_Gato__: Just saw a Tony Evers/Mandela Barnes/Josh Kaul sign next to a farm in western Wisconsin. I love midwestern rurals man,ActuallyIceFire,,3,0
2,2022-11-23 23:07:16+00:00,RT @Simon_El_Gato__: Just saw a Tony Evers/Mandela Barnes/Josh Kaul sign next to a farm in western Wisconsin. I love midwestern rurals man,MWPolitics101,"Holland, MI",3,0
3,2022-11-23 22:01:30+00:00,@LeftRightEA Mandela Barnes was the only Dem who could have lost to RonJon this year.,mrJoshKunkel,"Columbus, OH",0,1
4,2022-11-23 21:19:23+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",dix_reloaded,,19,0
5,2022-11-23 20:59:15+00:00,@schlagteslinks Imagine if Wisconsin dems picked someone other than Mandela barnes,GreenwaldIraq,Somewhere in New Jersey,0,0
6,2022-11-23 20:44:44+00:00,"RT @AdamParkhomenko: Republican Ron Johnson who celebrated the Fourth of July in Moscow, Russia is very upset this brand new Senate poll ou…",devchino,"Davis, CA",12220,0
7,2022-11-23 20:17:35+00:00,"@RebeccaKKatz @MargieOmero But in the Wisconsin Senate race, ""crime"" was a proxy for ""race.""  Republican ads were effective in driving down Mandela Barnes' favorables.  This was partly because there were a lot more of them than Barnes' campaign could put up early in the fall.",Zathras3,"Wisconsin, USA",0,0
8,2022-11-23 20:03:58+00:00,"@WizGargalon @D0m1n8tor ""low intelligence because of his beliefs"" doesn't make any sense.

Mandela Barnes is in fact a racist Black Nationalist. He hates Whites, even calls White people racial slurs on Twitter.",ElonFan35759172,The Free State of Florida,0,1
9,2022-11-23 19:32:22+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",God_Of_Ohio,ohio,19,0
10,2022-11-23 19:19:20+00:00,@CTIronman @SarahAnnRhoades @abureid1 @varadmehta Somehow I doubt mandela barnes was who he wanted.  But the difference is democrat leaders don't hate their base the way mcconell does. So if Schumer doesn't get who he wants he makes the best of it and tries to win.,ob1156,,0,0
11,2022-11-23 18:53:08+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",Jamesooonnn,Ecbatana,19,0
12,2022-11-23 18:53:04+00:00,"@ElonFan35759172 @D0m1n8tor Mark robinson is in fact low intelligence because of his beliefs

And mandela barnes isnt a racist black nationalist, so that would be a lie",WizGargalon,"Ohio, USA",0,1
13,2022-11-23 18:39:23+00:00,WE CAN NEVER FORGET THAT!  MANDELA BARNES SHOULD HAVE HAMMERED RON JOHNSON WITH THIS DAILY.  DEMOCRATS ARE TOO SOFT ON THEIR OPPONENTS https://t.co/G5Yl55HLaH,dizzle_que,"Cleveland, OH",0,1
14,2022-11-23 18:18:18+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",SFCTree,Behind you,19,0
15,2022-11-23 17:37:27+00:00,"@WizGargalon @D0m1n8tor Herschel Walker demonstrably is below-average intelligence though. Robinson isn't. 

Likewise for Mandela Barnes. I wouldn't call him r-tarded, bc he isn't. Instead I'd call him out for being a racist Black Nationalist.",ElonFan35759172,The Free State of Florida,0,1
16,2022-11-23 17:30:30+00:00,"@Jeffdc5 Mandela Barnes (taking extreme positions like abolish ice/defund police). 

Running candidates like Fetterman (outperformed Biden) is how you win many more seats (I mean to overcome the pulling a shotgun on a black man). Lamb running as a D ensures OZ win...",wordpower2018,USA,0,0
17,2022-11-23 17:30:11+00:00,"@IvyPopulist @cowboy41319 @NickyFrank30 Mandela Barnes (taking extreme positions like abolish ice/defund police). 

Running candidates like Fetterman (outperformed Biden) is how you win many more seats (I mean to overcome the pulling a shotgun on a black man). Lamb running as a D ensures OZ win...",wordpower2018,USA,0,0
18,2022-11-23 16:13:38+00:00,@PoliticPug he is Mandela Barnes's #1 Hater tho,syka620,"Philadelphia, PA",0,2
19,2022-11-23 15:44:17+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",rileyfrommanila,MNL ,19,0
