,Time,Tweet,User,Location,Retweets,Likes
0,2022-11-23 23:51:30+00:00,"RT @EvolvingWild: By our models, Ryan Reaves is likely the worst player who regularly plays in the NHL so this should work out well.",Not_Tim_Burton,,12,0
1,2022-11-23 23:13:19+00:00,"Oh, so the Tim Ryan interview will not be made public?

The committee that was formed to prevent Trump running for president is focused on preventing Trump from running for president? https://t.co/yCaOfCbUcD",greg_fann,"Temecula, CA",0,0
2,2022-11-23 22:54:00+00:00,"RT @Brian_Chovanec: @super_mario_21 @AndyHarrisFan Can't be candidate recruitment, Tim Ryan was best candidate Ds could've put up this cycl…",PercieveA,,1,0
3,2022-11-23 22:53:19+00:00,"@nathaliejacoby1 President Obama,  President Clinton, Maxine Waters, Tim Ryan or Gavin Newsom",pamelalnance1,,0,0
4,2022-11-23 22:50:15+00:00,"@SpecialPuppy1 One might argue that’s unfair which, sure ig, let’s compare vs. 2020

Tim Ryan did better than Biden by a whopping 1.4 point

John Fetterman otoh? He did better than Biden by a measly 3.6 points",Wasps_n_Moths,The Nest,0,0
5,2022-11-23 22:31:16+00:00,Ohio had Tim Ryan and instead they chose JD Vance! It’s ridiculous &amp; reflects the degraded mentality that has seeped into the whole Ohio population.,jm_dent,,1,3
6,2022-11-23 22:17:44+00:00,RT @news4buffalo: This is the Tim Hortons in Ontario that Sabres Ryan O'Reilly allegedly ran into last week http://t.co/QDmadFJfQn,Andrew_Moser_,"Milwaukee, Wisconsin",12,0
7,2022-11-23 22:13:08+00:00,Ok Jim Ryan might be worse than Tim Sweeney,taranfight,depends on if it's December,0,0
8,2022-11-23 22:06:12+00:00,"@LuisRodolfoRo18 Mike Trout, Nolan Arenado, Paul Goldshmidt, Mookie Betts, Bryce Harper, J. T. Realmuto, Pete Alonso, Trevor Story, Trea Turner, Will Smith, Cedric Mullins, Tim Anderson, Trevor Story, Kyle Tucker, Ryan Pressly, Merrill Kelly, Dillon Tate, Boby Whitt JR, Devin Williams",THEPRONK45,,0,1
9,2022-11-23 22:03:55+00:00,"@Bev_Did @cleats56 @BarackObama @DemRedistrict @GovMikeDeWine @TimRyan I got the impression he set the distance. I think towards the end he realized he could have used their money. It's a shame, Tim Ryan was obviously a much better choice for the people of Ohio. They'll learn, the hard way.",LynEpar,,0,2
10,2022-11-23 21:55:48+00:00,RT @news4buffalo: This is the Tim Hortons in Ontario that Sabres Ryan O'Reilly allegedly ran into last week http://t.co/QDmadFJfQn,ByGerrySullivan,"Buffalo, N.Y.",12,0
11,2022-11-23 21:43:41+00:00,@Joyenz1 @MailOnline Have to consider Tim Ryan too,BklynDAP,,0,0
12,2022-11-23 21:34:11+00:00,"@simsjos @redwood_ryan_a @realEstateTrent If he really is paying all cash, then yes maybe he is OK with a low cap going in, and plans to refi when rates are more favorable. That's just not the norm. I would 100% want to know this buyers operating plan, bio, POF, etc. before going into contract.",tim_vanwing,,0,0
13,2022-11-23 21:32:21+00:00,All these Karens that keep whining about maps and gerrymandering make me laugh...We couldve have let you and Tim Ryan draw the maps and it wouldn't of mattered.... https://t.co/lkNiCuZ0pU,WeissingerJoel,.... hoping for AZ,0,0
14,2022-11-23 21:27:17+00:00,@cleats56 @BarackObama @DemRedistrict @GovMikeDeWine @TimRyan Maybe Tim Ryan didn’t want them.,Bev_Did,USA,1,1
15,2022-11-23 21:19:23+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",dix_reloaded,,19,0
16,2022-11-23 21:12:55+00:00,"RT @_MLFootball: The #Eagles hired former #Colts offensive coordinator Marcus Brady as a consultant, according to @HolderStephen and @Tim_M…",ryan_rollman,,2,0
17,2022-11-23 20:54:38+00:00,Tim Ryan probably did so well in Ohio because he talks and acts like a guy who peaked in high school which I imagine is most people in Ohio,ArmagnacFrancis,"St Louis, MO",0,10
18,2022-11-23 20:53:44+00:00,@obamaatredrobin Ohio Democrats need to understand this. No more fake moderates like Tim Ryan or resistlib karens like Nan Whaley. More Marcy Kaptur and Emilia Sykes types and less Tim Ryan and Nan Whaley types.,KingCFox,probably shadowbanned ,1,5
19,2022-11-23 20:53:35+00:00,"RT @davidwappel: @misterpatches My other choices

Colin Farrell, Minority Report
Dante Basco, Hook
Tim Robbins, War of the Worlds
Paul Free…",AConcept5,,1,0
20,2022-11-23 20:52:25+00:00,"HALFTIME in Milwaukee

#RollToms 35 
#MkePanthers 33

@RealBrooksAllen leading the way with 9pts (3-3 3FG), 4r, 3a. Blue &amp; Dufault big off the bench with 10pts combined. Kendall providing a spark early with Ryan adding it at the end.

Ahmad Rand with 10pts 4reb (3off) for MKE",Tim_Hill3,"Bloomington, MN",1,4
21,2022-11-23 20:49:55+00:00,"RT @obamaatredrobin: almost forgot MI, they literally have a soc dem (i think) as their majority chair lol! meanwhile moderate tim ryan bit…",KingCFox,probably shadowbanned ,3,0
22,2022-11-23 20:24:59+00:00,"@misterpatches My other choices

Colin Farrell, Minority Report
Dante Basco, Hook
Tim Robbins, War of the Worlds
Paul Freeman, Raiders
Wayne Knight, Jurassic Park
Vin Diesel, Saving Private Ryan",davidwappel,"Los Angeles, CA",1,5
23,2022-11-23 20:04:09+00:00,@TruckersVote JD Vance got elected here in Ohio by lying that Tim Ryan and the Democrats raised taxes on low to middle income Americans. Said they also wanted new IRS agents to go after middle class(not rich tax cheats!) BS made me want to throw something at the tv every time it came on.,tomthomas578,United States,0,1
24,2022-11-23 19:57:43+00:00,@DavidPepper Deplorable.  Wondering what explains how OH voters could elect JD Vance over Tim Ryan?  Something else is going on in OH that Dems need to figure out.,eadeere,,0,0
25,2022-11-23 19:36:40+00:00,"@charlescwcooke @njhochman @UrbanAchievr It's still Fall of 2022, I think plenty of people will run and drop out before the voting starts because there's really no downsides to running for president. (Unless you're Beto or Tim Ryan and you end up giving your future opponents a ton of oppo in state races.)",ZaidJilani,🍑,1,44
26,2022-11-23 19:32:22+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",God_Of_Ohio,ohio,19,0
27,2022-11-23 19:28:10+00:00,RT @TuckersInsight: President Biden needs to give Tim Ryan a job in the administration. He is too good of a politician and a genuinely good…,JulieSeyberth,,2406,0
28,2022-11-23 19:24:07+00:00,"RT @kaitlancollins: ""The national Democratic party has never been good at strategic political decisions,"" Tim Ryan says. ""Thank god that I…",AzriZara,"Penang, MY",79,0
29,2022-11-23 19:18:26+00:00,RT @NYRangers: OFFICIAL: #NYR have acquired a fifth-round pick in the 2025 NHL Entry Draft from the Wild in exchange for Ryan Reaves.,Not_Tim_Burton,,281,0
30,2022-11-23 19:18:21+00:00,Ryan Reaves?,Not_Tim_Burton,,0,0
31,2022-11-23 19:06:36+00:00,"5th Over (Powerplay) - 4 4 lb . W 1

@TBCT1996 69-2 (5)
Simon Cleaves 32* (13)
Ryan MacMillan b Toby Ricks 19 (9)
Tim Taylor 1* (1)

@baggiescricket 
Toby Ricks 1-9 (1)",DiceSport,,0,0
32,2022-11-23 18:53:08+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",Jamesooonnn,Ecbatana,19,0
33,2022-11-23 18:45:26+00:00,"@NEWSMAX Do not ever put Tim Ryan is that leadership, he is a Republicrate.",Fltallman1950,"Casselberry, Florida",0,0
34,2022-11-23 18:26:17+00:00,"RT @Vulst2: strongest house candidates of 2022:
D / Tim Ryan
R / Lee Zeldin",GaModerate,,2,0
35,2022-11-23 18:25:07+00:00,"RT @Lucky33865202: @Timcast You're known for being coward and phony Tim.
https://t.co/ZCwmcGB31B

But apparently, you also spread slanders…",vmarshallb,"Indiana, USA",1,0
36,2022-11-23 18:24:47+00:00,RT @PviGuy: #ElectionTwitter Here's a map showing the swing from the 2016 Senate race in Ohio to that of 2022. Tim Ryan did very well in ur…,EnderElections,"Chicago, Illinois",23,0
37,2022-11-23 18:18:18+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",SFCTree,Behind you,19,0
38,2022-11-23 18:04:21+00:00,"Tim Ryan teaches a masterclass on how to concede gracefully: “I have a privilege to concede this race to J.D. Vance.” Good man. 

Defeated Democrat shows America how to be a good loser https://t.co/c8QHo806Mv via @YouTube",Barredbard,"Antifa Headquarters, MI",0,0
39,2022-11-23 18:03:09+00:00,"@hulsey_ryan @Gigawoke @MTRichards400 @VanceGinn Sorry Tim, I’m at least brushed up on all sides of this topic. Otherwise I wouldn’t talk about it. You can’t learn about “libertarianism” from socialists, anymore than you can learn about socialism from right wing nutters. I don’t deal in propaganda like you do.",Newer_Deal,Great Lakes,0,0
40,2022-11-23 17:39:02+00:00,"RT @CautiousLefty: Tim Ryan, in outperforming the top of his ticket by 19%, showed how a good candidate and smart campaign can allow a Demo…",blussfIliz,,6,0
41,2022-11-23 17:11:26+00:00,"@Doc58856939 @conureCC @TulsiGabbard Conservative != GOP
Bernie Kosar (Republican) just campaigned for Tim Ryan (Democrat) in Ohio....OH THE HORROR!!!!

Really love how life isn't binary but politics is BLACK OR WHITE!!!!",MattBarna,,0,0
42,2022-11-23 17:02:31+00:00,"RT @PennMarHS: Tune in tonight to @wbaltv11 btw 4-6:30pm to catch Tim talking all about his job at Brick Bodies Fitness Services, alongside…",wbaltv11,"Baltimore, MD",1,0
43,2022-11-23 17:00:33+00:00,"Tune in tonight to @wbaltv11 btw 4-6:30pm to catch Tim talking all about his job at Brick Bodies Fitness Services, alongside his awesome supervisor Ryan &amp; Penn-Mar's fabulous Job Developer Jason &amp; Employment Supports Coord. Marion!

Thank you to @wbaljfro for covering this story! https://t.co/4yB3xR5qgN",PennMarHS,Maryland & Pennsylvania,1,2
44,2022-11-23 16:51:53+00:00,"RT @FoxNews: FAKING IT, NOT MAKING IT: @IngrahamAngle says Dems are trying to fool voters with 'fake populists' like John Fetterman and Tim…",hsll65581,"Irvine, California",66,0
45,2022-11-23 16:34:09+00:00,RT @kitzeepie: @VeronicaTellsIt @DC_DeWitt @MorganTrau Ohio voted for a MAGA dweeb over a legitimate public servant in Tim Ryan.  I don't k…,Krispikritters,"California, USA",2,0
46,2022-11-23 16:32:38+00:00,"RT @ecreights: .@BGKTalia is a gen z social media queen!! She exponentially grew our platforms, consistently landing Tim Ryan in the top ac…",DonMossOH,Ohio,4,0
47,2022-11-23 16:23:27+00:00,"@hulsey_ryan @Gigawoke @MTRichards400 @VanceGinn Sorry Tim. See, I’ve actually read Rand and Mises so I know the good, the bad, and the scams. You though don’t seem to have gone beyond Ben “I plug a product every 30 seconds” Shapiro. I hope you expand your horizons one day so you can actually talk about this stuff 🫡",Newer_Deal,Great Lakes,0,0
48,2022-11-23 15:54:55+00:00,RT @SpencerHolbrook: I wrote about the emotions that are involved with this weekend and how the Buckeyes can use them without letting the e…,TIM_MAYsports,Columbus Ohio,3,0
49,2022-11-23 15:44:17+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",rileyfrommanila,MNL ,19,0
50,2022-11-23 15:42:52+00:00,RT @wisconsin_now: Ron Johnson won Alberta's district with 54.3% and Tim Michels won it by 52%. So it's Republicans' to keep (along with th…,ryan_cook2021,"Houston, TX",10,0
51,2022-11-23 15:42:41+00:00,RT @Kerry_Official: Congratulations Paudie Dineen &amp; Terence Houlihan who are the Munster Council Delegates. Commiserations to Tim Ryan,drumavanagh,,1,0
52,2022-11-23 15:40:59+00:00,"@teddy_willard @thehill What? Are you just making things up as you go??

October 2022

https://t.co/rsEVNlWtAf

November 8th
https://t.co/exm4nNr3cm",KenNYbUnchained,,0,0
53,2022-11-23 15:39:36+00:00,@EdwardGLuce @MaxBoot Good read but disagree with the premise Dems have a weak bench. Even a guy who just lost like Tim Ryan would be a solid choice on a national ticket. Was Barack Obama a known commodity at this point in Dubya's second term? Let's see who the competition is before decisions made.,JBNorwacky,CT,0,1
54,2022-11-23 15:20:02+00:00,"RT @spacegovuk: Meet Rosemary Coogan, one of ESA’s newest career astronauts. She will become the UK’s third ever astronaut after Tim Peake…",Ryan_Yonkman,"Missouri, USA",51,0
55,2022-11-23 15:08:43+00:00,"RT @schlagteslinks: Imagine if these images had included Mandela Barnes and Cheri Beasley instead of Tim Ryan and Val Demings. Oh, what cou…",Prolemasses,EML2,19,0
